,Facility Name,Permit Number,Permit Status,Permit Type,City,County,Violation Date,Is Addressed,Category,Type,Parameter,Units,Statistical Base,Measurement Value,Benchmark/Limit,Violation Notes,Violation Override,Feature Name,ViolationId,FacilityId,lat,lon
523,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,1-4-Dichlorobenzene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631881,6411556,48.11113,-123.40215
524,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-4-Dichlorophenol,Micrograms/L (ug/L),Single Sample, , , , ,001,1631974,6411556,48.11113,-123.40215
525,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-4-Dinitrophenol,Micrograms/L (ug/L),Single Sample, , , , ,001,1631874,6411556,48.11113,-123.40215
526,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-6-Dinitrotoluene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631953,6411556,48.11113,-123.40215
527,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,1-3-Dichloropropene (1-3 Dichloropropylene),Micrograms/L (ug/L),Single Sample, , , , ,001,1631901,6411556,48.11113,-123.40215
528,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-4-6-Trichlorophenol,Micrograms/L (ug/L),Single Sample, , , , ,001,1631882,6411556,48.11113,-123.40215
529,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-4-Dimethylphenol,Micrograms/L (ug/L),Single Sample, , , , ,001,1631919,6411556,48.11113,-123.40215
530,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-4-Dinitrotoluene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631871,6411556,48.11113,-123.40215
531,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-Chloroethylvinylether,Micrograms/L (ug/L),Single Sample, , , , ,001,1631965,6411556,48.11113,-123.40215
532,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-Chloronaphthalene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631939,6411556,48.11113,-123.40215
533,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-Nitrophenol,Micrograms/L (ug/L),Single Sample, , , , ,001,1631912,6411556,48.11113,-123.40215
534,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,3-Methyl cholanthrene (1-2-dihydro-3-methyl-Benz[j]aceanthrylene),Micrograms/L (ug/L),Single Sample, , , , ,001,1631979,6411556,48.11113,-123.40215
535,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,4-Bromophenyl phenyl ether,Micrograms/L (ug/L),Single Sample, , , , ,001,1631868,6411556,48.11113,-123.40215
536,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,4-Chlorophenyl-Phenylether,Micrograms/L (ug/L),Single Sample, , , , ,001,1631957,6411556,48.11113,-123.40215
537,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,2-Chlorophenol,Micrograms/L (ug/L),Single Sample, , , , ,001,1631966,6411556,48.11113,-123.40215
538,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,3-3'-Dichlorobenzidine,Micrograms/L (ug/L),Single Sample, , , , ,001,1631863,6411556,48.11113,-123.40215
539,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,4-6-Dinitro-2-Methylphenol (4-6 dinitro-o-cresol)(2-methyl-4-6-dinitrophenol),Micrograms/L (ug/L),Single Sample, , , , ,001,1631931,6411556,48.11113,-123.40215
540,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,4-Chloro-3-Methylphenol (Parachlorometa cresol),Micrograms/L (ug/L),Single Sample, , , , ,001,1631924,6411556,48.11113,-123.40215
541,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,4-Nitrophenol,Micrograms/L (ug/L),Single Sample, , , , ,001,1631879,6411556,48.11113,-123.40215
542,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Acenaphthene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631905,6411556,48.11113,-123.40215
543,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Acrolein,Micrograms/L (ug/L),Single Sample, , , , ,001,1631878,6411556,48.11113,-123.40215
544,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Ammonia (Total),Milligrams/L (mg/L),Single Sample, , , , ,001,1630519,485225,46.6655616760254,-122.972503662109
545,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Anthracene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631981,6411556,48.11113,-123.40215
546,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Arsenic (Total),Micrograms/L (ug/L),Single Sample, , , , ,001,1631968,6411556,48.11113,-123.40215
547,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Acenaphthylene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631860,6411556,48.11113,-123.40215
548,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Acrylonitrile,Micrograms/L (ug/L),Single Sample, , , , ,001,1631961,6411556,48.11113,-123.40215
549,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Ammonia (Total),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1630519,485225,46.6655616760254,-122.972503662109
550,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Antimony (Total),Micrograms/L (ug/L),Single Sample, , , , ,001,1631885,6411556,48.11113,-123.40215
551,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Benzo(j)fluoranthene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631895,6411556,48.11113,-123.40215
552,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Benzene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631946,6411556,48.11113,-123.40215
553,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Benzo(a)pyrene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631975,6411556,48.11113,-123.40215
554,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Benzo(ghi)perylene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631940,6411556,48.11113,-123.40215
555,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Benzo(r-s-t)pentaphene (dibenzo(a-i) pyrene),Micrograms/L (ug/L),Single Sample, , , , ,001,1631914,6411556,48.11113,-123.40215
556,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Beryllium (Total),Micrograms/L (ug/L),Single Sample, , , , ,001,1631922,6411556,48.11113,-123.40215
557,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Benzidine,Micrograms/L (ug/L),Single Sample, , , , ,001,1631948,6411556,48.11113,-123.40215
558,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Benzo(b)fluoranthene (3-4-Benzofluoranthene),Micrograms/L (ug/L),Single Sample, , , , ,001,1631889,6411556,48.11113,-123.40215
559,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Benzo(k)fluoranthene (11-12-benzofluoranthene),Micrograms/L (ug/L),Single Sample, , , , ,001,1631864,6411556,48.11113,-123.40215
560,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Benzo(a)anthracene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631933,6411556,48.11113,-123.40215
561,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Ethylbenzene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631923,6411556,48.11113,-123.40215
562,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Pentachlorophenol,Micrograms/L (ug/L),Single Sample, , , , ,001,1631980,6411556,48.11113,-123.40215
563,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Phenanthrene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631967,6411556,48.11113,-123.40215
564,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Phenolics (Total Phenols) (Total),Micrograms/L (ug/L),Single Sample, , , , ,001,1631859,6411556,48.11113,-123.40215
565,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Phosphorus (Total),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1630524,485225,46.6655616760254,-122.972503662109
566,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Selenium (Total),Micrograms/L (ug/L),Single Sample, , , , ,001,1631910,6411556,48.11113,-123.40215
567,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Perylene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631875,6411556,48.11113,-123.40215
568,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Phenol,Micrograms/L (ug/L),Single Sample, , , , ,001,1631904,6411556,48.11113,-123.40215
569,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Phosphorus (Total),Milligrams/L (mg/L),Single Sample, , , , ,001,1630524,485225,46.6655616760254,-122.972503662109
570,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Pyrene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631944,6411556,48.11113,-123.40215
571,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Silver (Total),Micrograms/L (ug/L),Single Sample, , , , ,001,1631928,6411556,48.11113,-123.40215
572,Encon Northwest LLC,WAG501014,Active,Sand and Gravel GP,CAMAS,Clark,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total Dissolved Solids (TDS)),Milligrams/L (mg/L),Single Sample, , , , ,G02A,1639634,70983458,45.5811424255371,-122.42813873291
573,Encon Northwest LLC,WAG501014,Active,Sand and Gravel GP,CAMAS,Clark,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total Dissolved Solids (TDS)),Milligrams/L (mg/L),Month 2 Average, ,500 / 500, , ,G02A,1639634,70983458,45.5811424255371,-122.42813873291
574,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Average Monthly, , , , ,007S,1629119,84465916,47.26871,-122.40124
575,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Single Sample, , , , ,007S,1629119,84465916,47.26871,-122.40124
576,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Daily Maximum, , , , ,007S,1641518,84465916,47.26871,-122.40124
577,Encon Northwest LLC,WAG501014,Active,Sand and Gravel GP,CAMAS,Clark,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total Dissolved Solids (TDS)),Milligrams/L (mg/L),Month 1 Average, ,500 / 500, , ,G02A,1639634,70983458,45.5811424255371,-122.42813873291
578,Encon Northwest LLC,WAG501014,Active,Sand and Gravel GP,CAMAS,Clark,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Solids (Residue) (Total Dissolved Solids (TDS)),Milligrams/L (mg/L),Month 3 Average, ,500 / 500, , ,G02A,1639634,70983458,45.5811424255371,-122.42813873291
579,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Daily Maximum, , , , ,007S,1629119,84465916,47.26871,-122.40124
580,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Average Monthly, , , , ,007S,1641518,84465916,47.26871,-122.40124
581,CONCRETE TECHNOLOGY CORP,WA0001864,Active,Industrial NPDES IP,Tacoma,Pierce,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/Day (gpd),Single Sample, , , , ,007S,1641518,84465916,47.26871,-122.40124
582,"Pacific Seafood - Woodland, LLC",ST0006222,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,WOODLAND,Cowlitz,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/minute (gpm),Single Sample, , , , ,001,1629120,6144502,45.917121887207,-122.753120422363
583,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Fluoranthene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631963,6411556,48.11113,-123.40215
584,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Hexachlorobenzene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631867,6411556,48.11113,-123.40215
585,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Hexachlorocyclopentadiene (hexachloropentadiene),Micrograms/L (ug/L),Single Sample, , , , ,001,1631911,6411556,48.11113,-123.40215
586,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Indeno(1-2-3-cd)pyrene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631884,6411556,48.11113,-123.40215
587,"Pacific Seafood - Woodland, LLC",ST0006222,Active,Industrial (IU) to POTW/PRIVATE SWDP IP,WOODLAND,Cowlitz,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Flow,Gallons/minute (gpm),Instantaneous Maximum, ,225 / 225, , ,001,1629120,6144502,45.917121887207,-122.753120422363
588,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Fluorene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631917,6411556,48.11113,-123.40215
589,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Hexachlorobutadiene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631955,6411556,48.11113,-123.40215
590,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Hexachloroethane,Micrograms/L (ug/L),Single Sample, , , , ,001,1631921,6411556,48.11113,-123.40215
591,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Isophorone,Micrograms/L (ug/L),Single Sample, , , , ,001,1631902,6411556,48.11113,-123.40215
592,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Kjeldahl Nitrogen (TKN) (Total),Milligrams/L (mg/L),Single Sample, , , , ,001,1630525,485225,46.6655616760254,-122.972503662109
593,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Lead (Total),Micrograms/L (ug/L),Single Sample, , , , ,001,1631876,6411556,48.11113,-123.40215
594,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Methylene Chloride,Micrograms/L (ug/L),Single Sample, , , , ,001,1631908,6411556,48.11113,-123.40215
595,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,N-Nitrosodimethylamine,Micrograms/L (ug/L),Single Sample, , , , ,001,1631877,6411556,48.11113,-123.40215
596,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Naphthalene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631938,6411556,48.11113,-123.40215
597,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Kjeldahl Nitrogen (TKN) (Total),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1630525,485225,46.6655616760254,-122.972503662109
598,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Mercury (Total),Nanograms/L (ng/L),Single Sample, , , , ,001,1631959,6411556,48.11113,-123.40215
599,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,N-Nitrosodi-n-propylamine,Micrograms/L (ug/L),Single Sample, , , , ,001,1631945,6411556,48.11113,-123.40215
600,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,N-Nitrosodiphenylamine,Micrograms/L (ug/L),Single Sample, , , , ,001,1631958,6411556,48.11113,-123.40215
601,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Nickel (Total),Micrograms/L (ug/L),Single Sample, , , , ,001,1631913,6411556,48.11113,-123.40215
602,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Nitrate + Nitrite (Total),Milligrams/L (mg/L),Single Sample, , , , ,001,1630522,485225,46.6655616760254,-122.972503662109
603,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Nitrobenzene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631869,6411556,48.11113,-123.40215
604,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Nitrogen (calculation) (Total (TKN + NO3 + NO2)),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1630520,485225,46.6655616760254,-122.972503662109
605,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Thallium (Total),Micrograms/L (ug/L),Single Sample, , , , ,001,1631932,6411556,48.11113,-123.40215
606,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Trichloroethene (Trichloroethylene),Micrograms/L (ug/L),Single Sample, , , , ,001,1631897,6411556,48.11113,-123.40215
607,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Nitrate + Nitrite (Total),Milligrams/L (mg/L),Daily Maximum, , , , ,001,1630522,485225,46.6655616760254,-122.972503662109
608,NATIONAL FROZEN FOODS,ST0006122,Active,Industrial to ground SWDP IP,CHEHALIS,Lewis,7/1/2020,Yes,Monitoring Violations,Frequency of Sampling Violation,Nitrogen (calculation) (Total (TKN + NO3 + NO2)),Milligrams/L (mg/L),Single Sample, , , , ,001,1630520,485225,46.6655616760254,-122.972503662109
609,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Tetrachloroethene (tetrachloroethylene),Micrograms/L (ug/L),Single Sample, , , , ,001,1631862,6411556,48.11113,-123.40215
610,PORT ANGELES STP,WA0023973,Active,Municipal NPDES IP,Port Angeles,Clallam,7/1/2020,No,Monitoring Violations,Frequency of Sampling Violation,Toluene,Micrograms/L (ug/L),Single Sample, , , , ,001,1631969,6411556,48.11113,-123.40215
611,Wallace Rock Products,WAG501506,Active,Sand and Gravel GP,TOLEDO,Lewis,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Daily Maximum (Daily), ,50 / 50, , ,P1,1637886,23779,46.4019660949707,-122.924591064453
612,Wallace Rock Products,WAG501506,Active,Sand and Gravel GP,TOLEDO,Lewis,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Month 1 Average, ,50 / 50, , ,P1,1637886,23779,46.4019660949707,-122.924591064453
613,Wallace Rock Products,WAG501506,Active,Sand and Gravel GP,TOLEDO,Lewis,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Month 3 Average, ,50 / 50, , ,P1,1637886,23779,46.4019660949707,-122.924591064453
614,Naselle Rock & Asphalt Lane Creek,WAG501157,Active,Sand and Gravel GP,NASELLE,Pacific,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Month 1 Average, ,50 / 50, , ,S001,1639895,85252662,46.3813858032227,-123.78490447998
615,Naselle Rock & Asphalt Lane Creek,WAG501157,Active,Sand and Gravel GP,NASELLE,Pacific,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Month 3 Average, ,50 / 50, , ,S001,1639895,85252662,46.3813858032227,-123.78490447998
616,Tower Rock Products - Tebo Pit,WAG501391,Active,Sand and Gravel GP,BATTLE GROUND,Clark,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Month 1 Average, ,50 / 50, , ,SWA,1639479,4245850,45.8037948608398,-122.585189819336
617,Wallace Rock Products,WAG501506,Active,Sand and Gravel GP,TOLEDO,Lewis,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Month 2 Average, ,50 / 50, , ,P1,1637886,23779,46.4019660949707,-122.924591064453
618,Naselle Rock & Asphalt Lane Creek,WAG501157,Active,Sand and Gravel GP,NASELLE,Pacific,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Daily Maximum (Daily), ,50 / 50, , ,S001,1639895,85252662,46.3813858032227,-123.78490447998
619,Naselle Rock & Asphalt Lane Creek,WAG501157,Active,Sand and Gravel GP,NASELLE,Pacific,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Month 2 Average, ,50 / 50, , ,S001,1639895,85252662,46.3813858032227,-123.78490447998
620,Tower Rock Products - Tebo Pit,WAG501391,Active,Sand and Gravel GP,BATTLE GROUND,Clark,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Daily Maximum (Daily), ,50 / 50, , ,SWA,1639479,4245850,45.8037948608398,-122.585189819336
621,Tower Rock Products - Tebo Pit,WAG501391,Active,Sand and Gravel GP,BATTLE GROUND,Clark,7/1/2020,N/A,Monitoring Violations,Frequency of Sampling Violation,Turbidity (Nephelometric) (Measured),NTU,Month 2 Average, ,50 / 50, , ,SWA,1639479,4245850,45.8037948608398,-122.585189819336
